ProDataCSV

Title: Sat Jun 22 19:31:15 2024

Remarks:
#User: SX User
#Date: 2024/06/22
#HV (Absorbance channel): 206.528
#Samples per point: 9600
#Sample period: 12.5 us
#Temperature: 19.87 C
#Cell type: Stopped Flow
#Pathlength: 10

Last Modified: Sat Jun 22 19:45:01 2024 by unknown.

Options:

Available Dimensions:,3
Time,1000 time points over 120s,linear,oversampled,external trigger,pressure hold off (pressure released immediately)
Repeat,3 repeats in set., -iter option selected
Wavelength,Wavelength: 305nm,,Bandwidth: 0nm

Available Properties: ,3
Absorbance,
HV,
Count,

Data:


Absorbance
Wavelength:,305
30.36,-0.00152655,-0.00170873,-0.00204179
30.48,-0.00149952,-0.0017966,-0.00200232
30.6,-0.00151964,-0.00189161,-0.00203019
30.72,-0.00155307,-0.00193001,-0.00208729
30.84,-0.00160796,-0.00196165,-0.00211743
30.96,-0.0016584,-0.0019331,-0.00206925
31.08,-0.00168779,-0.00194624,-0.00204179
31.2,-0.00169331,-0.00188202,-0.00200438
31.32,-0.00167923,-0.00179268,-0.0019766
31.44,-0.0016831,-0.0017175,-0.0020321
31.56,-0.00163957,-0.00160749,-0.00206152
31.68,-0.00158392,-0.00144627,-0.00204792
31.8,-0.00155921,-0.00140674,-0.0019664
31.92,-0.0015556,-0.0014342,-0.00186913
32.04,-0.00154987,-0.00155003,-0.00185532
32.16,-0.00158774,-0.00170739,-0.00187949
32.28,-0.00156045,-0.00178278,-0.00196825
32.4,-0.0014957,-0.0018466,-0.00203494
32.52,-0.00149013,-0.00180536,-0.0020656
32.64,-0.00157443,-0.00167738,-0.00207322
32.76,-0.00164174,-0.00160202,-0.00204344
32.88,-0.00170084,-0.00157154,-0.00194619
33,-0.00174369,-0.00162843,-0.00180706
33.12,-0.00170301,-0.00164767,-0.0016766
33.24,-0.0016387,-0.00161482,-0.00158815
33.36,-0.00154946,-0.00158118,-0.00160775
33.48,-0.0015345,-0.00152784,-0.00167207
33.6,-0.00160857,-0.00152041,-0.0016928
33.72,-0.00163411,-0.00155126,-0.00179206
33.84,-0.00163313,-0.00149967,-0.0017952
33.96,-0.00156297,-0.00150979,-0.00177597
34.08,-0.00154291,-0.00152532,-0.00180747
34.2,-0.0015686,-0.00142837,-0.00186454
34.32,-0.00153125,-0.00136231,-0.00190893
34.44,-0.00151634,-0.00140117,-0.00194779
34.56,-0.00139957,-0.00138848,-0.00188568
34.68,-0.00122594,-0.00137253,-0.00188815
34.8,-0.00116811,-0.0013893,-0.00190063
34.92,-0.00115784,-0.00141851,-0.00196114
35.04,-0.00121458,-0.00148229,-0.00188444
35.16,-0.00124643,-0.00147352,-0.00180789
35.28,-0.00124576,-0.00140071,-0.00171719
35.4,-0.00131281,-0.0012838,-0.001665
35.52,-0.00147465,-0.00126125,-0.00162389
35.64,-0.00154755,-0.00124142,-0.00162694
35.76,-0.00157071,-0.00122542,-0.00164865
35.88,-0.00155271,-0.00125691,-0.0016832
36,-0.00152449,-0.00126662,-0.0016864
36.12,-0.00154095,-0.0012137,-0.00158531
